id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
106642,106985,206088,8278,NN 4209,40Gam Cap,,21.668181,-16.662308,48.1464,187.39,-22.33,-31.2,3.69,0.277,A7III:mp...,0.32,37.793496,-26.44095,-13.804954,-0.0000012,0.00005422,0.00000416,5.672716509,-0.290812129,9.08492E-07,-1.08259E-07,Gam,40,Cap,1,106642,,67.48387309,Gam,3.694,3.684
15436,15474,20720,1003,,16Tau4Eri,,3.325278,-21.757864,93.3707,51.35,32.2,42,3.7,-1.151,M3/M4III,1.614,55.881991,66.313063,-34.611249,0.00001142,0.00004962,-0.00000239,0.870555657,-0.379746361,2.48952E-07,1.5611E-07,Tau-4,16,Eri,1,15436,,251.420103,Tau-4,3.73,3.66
87661,87933,163993,6703,,92Xi  Her,,17.962744,29.24788,41.9463,82.33,-18.73,-2,3.7,0.587,K0III,0.935,-0.356945,-36.596981,20.49449,0.00001674,-0.00000024,-0.00000432,4.702635395,0.510471799,3.99147E-07,-9.08056E-08,Xi,92,Her,1,87661,,50.72242399,,,
114609,114971,219615,8852,,6Gam Psc,,23.286094,3.282289,42.3012,760.35,17.96,-14,3.7,0.568,G7III,0.916,41.496215,-7.847237,2.421966,0.00001472,0.0001559,0.00000286,6.096285056,0.057286748,3.68628E-06,8.70725E-08,Gam,6,Psc,1,114609,,51.61786055,,,
22744,22797,31237,1567,,8Pi 5Ori,,4.904193,2.440672,411.5226,1.43,0.23,23,3.71,-4.362,B2III SB,-0.179,116.339905,394.346209,17.52465,0.00000391,0.00002333,0.00000146,1.283914844,0.042597763,6.93284E-09,1.11507E-09,Pi-5,8,Ori,1,22744,,4839.494493,Pi-5,3.733,3.683
28032,28103,40136,2085,Gl 225,16Eta Lep,,5.940082,-14.1677,14.8787,-42.23,139.02,-1.4,3.71,2.847,F1V,0.337,0.226289,14.424355,-3.64172,0.00000306,0.00000102,0.00001007,1.555109716,-0.247273015,-2.04737E-07,6.73988E-07,Eta,16,Lep,1,28032,,6.327031549,,,
38304,38414,64440,3080,,,,7.870288,-40.575786,108.1081,-13.89,5.3,24,3.71,-1.459,G5III...,1.012,-38.618552,72.465137,-70.319408,-0.00000319,0.00002147,-0.00001386,2.060436619,-0.708181061,-6.73406E-08,2.56951E-08,,,Pup,1,38304,,333.8873767,,,
77386,77622,141795,5892,NN 3921,37Eps Ser,,15.846935,4.47773,21.5983,127.98,61.87,-9.1,3.71,2.038,A2m,0.147,-11.504554,-18.201236,1.686207,0.00001655,0.00000111,0.00000573,4.148717865,0.078151134,6.20465E-07,2.99954E-07,Eps,37,Ser,1,77386,,13.32907464,,,
88494,88771,165777,6771,Wo 9615A,72    Oph,,18.122496,9.563847,26.6312,-61.6,79.71,-23.9,3.71,1.583,A4IVs,0.159,0.842022,-26.247342,4.424647,-0.00000878,0.00002554,0.00000609,4.744458289,0.166920622,-2.98645E-07,3.86445E-07,,72,Oph,1,88494,Wo 9615,20.26749152,,,
97725,98036,188512,7602,Gl 771A,60Bet Aql,Alshain,19.921887,6.406763,13.6986,46.35,-481.32,-40.7,3.71,3.027,G8IVvar,0.855,6.563854,-11.925647,1.528534,-0.00001553,0.0000346,-0.00003641,5.215537811,0.111819116,2.24711E-07,-2.33351E-06,Bet,60,Aql,1,97725,Gl 771,5.360434578,,,
16496,16537,22049,1084,Gl 144,18Eps Eri,,3.548848,-9.458262,3.2161,-976.44,17.97,16.9,3.72,6.183,K2V,0.881,1.89897,2.541426,-0.528523,0.00002243,0.00000458,-0.00000256,0.929086175,-0.165077816,-4.73391E-06,8.7121E-08,Eps,18,Eri,1,16496,,0.292954383,Eps,3.735,3.715
17457,17499,23302,1142,,17    Tau,,3.747927,24.113339,124.0695,21.55,-44.92,12,3.72,-1.748,B6III,-0.105,62.965631,94.124106,50.687766,0.00000159,0.00002569,-0.00001965,0.981204912,0.420857162,1.04477E-07,-2.17778E-07,,17,Tau,1,17457,,435.7124805,,,
28287,28358,40035,2077,,33Del Aur,,5.992111,54.284656,38.6399,86.31,-134.05,8,3.72,0.785,K0III,1.01,0.046526,22.55637,31.372845,-0.00001612,0.0000252,-0.00000801,1.568731066,0.947445981,4.18443E-07,-6.49893E-07,Del,33,Aur,1,28287,,42.26686143,,,
103725,104060,200905,8079,,62Xi  Cyg,,21.082184,43.927852,258.3979,8.6,0.35,-20,3.72,-3.341,K5Ibv SB,1.609,134.394395,-128.732159,179.263939,-0.00000341,0.00001818,-0.00001387,5.519302741,0.766685651,4.1694E-08,1.69685E-09,Xi,62,Cyg,1,103725,,1889.731054,,,
16044,16083,21364,1038,,2Xi  Tau,,3.45282,9.73268,64.1026,53.61,-38.12,-2,3.73,-0.304,B9Vn,-0.082,39.077692,49.645163,10.836642,-0.0000131,0.00001029,-0.00001202,0.903946173,0.169867306,2.59909E-07,-1.84811E-07,Xi,2,Tau,1,16044,,115.2391377,Xi,3.812,3.722
71994,72220,130109,5511,,109    Vir,,14.770812,1.892885,41.2371,-116.04,-21.75,-6,3.73,0.654,A0V,-0.005,-30.838211,-27.343068,1.362104,-0.00001091,0.00002133,-0.00000455,3.866989601,0.033037082,-5.62578E-07,-1.05447E-07,,109,Vir,1,71994,,47.68699981,,,
87314,87585,163588,6688,,32Xi  Dra,,17.892134,56.872643,34.5066,93.65,78.44,-26,3.73,1.04,K2III,1.177,-0.532395,-18.850278,28.897629,0.00001638,0.00002507,-0.0000151,4.684149846,0.99261487,4.54028E-07,3.80288E-07,Xi,32,Dra,1,87314,,33.419504,,,
106746,107089,205478,8254,Gl 835.1,Nu  Oct,,21.691253,-77.390046,21.1999,64.83,-240.38,34.4,3.73,2.098,K0III,1.008,3.808297,-2.630174,-20.688835,-0.00000973,0.00001482,-0.00003973,5.678756758,-1.350711116,3.14305E-07,-1.1654E-06,Nu,,Oct,1,106746,,12.61246575,,,
